Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
1324;503821808;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1223;503819123;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1130;710146441;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
L969;710121983;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1121;710146821;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1114;503801798;05/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1498;503827323;10/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1583;503810411;07/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
L047;503797697;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1445;710150397;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
5494;710147023;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
L485;710146789;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1598;503819126;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1079;710146530;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1158;503801838;05/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
5365;503801797;05/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
5491;710147022;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
L498;710147021;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1078;503797747;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
5215;710150627;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
L199;710119614;03/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
5444;710146788;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
L106;503801850;05/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1524;503801796;05/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
L056;710150368;09/09/2026;Faturamento Manual;4334662;MENTOS FRESH DIVE COTTONCANDY 49G PERFET;30;R$ 197,70
L056;710150368;09/09/2026;Faturamento Manual;4334617;MENTOS FRESH DIVE TROPICAL 49G PERFETTI;30;R$ 197,70
5215;710150627;09/09/2026;Faturamento Manual;4314951;TORCIDA COSTELINHA COM LIMAO 35G PEPSICO;182;R$ 196,56
5486;710146418;08/09/2026;Faturamento Manual;4314951;TORCIDA COSTELINHA COM LIMAO 35G PEPSICO;182;R$ 196,56
1459;710150391;09/09/2026;Faturamento Manual;4314951;TORCIDA COSTELINHA COM LIMAO 35G PEPSICO;182;R$ 196,56
